description,average,standard_deviation,individual_results,min,max,type,id
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,137.2206787109375,37.018369209114105,"[148.117431640625, 136.273681640625, 111.090576171875, 116.032958984375, 109.67626953125, 110.320068359375, 117.22998046875, 113.914794921875, 225.986572265625, 183.564453125]",109.67626953125,225.986572265625,ccb,ccb01
Quantidade de domicilios sem banheiro,44.4731201171875,1.6335723220609308,"[48.892822265625, 43.50537109375, 44.611572265625, 43.60498046875, 43.1259765625, 45.35546875, 44.832763671875, 43.895751953125, 43.06201171875, 43.844482421875]",43.06201171875,48.892822265625,ccb,ccb02
Quantidade de familias que nao possuem domicilio particular regular,30.5959716796875,1.8225097736376528,"[29.71337890625, 28.95263671875, 29.419921875, 30.532470703125, 29.66943359375, 31.1669921875, 29.59326171875, 35.6015625, 31.395263671875, 29.914794921875]",28.95263671875,35.6015625,ccb,ccb03
Quais dados do domicílio das famílias que possuem apenas um cômodo?,9.0413818359375,0.29690907433365693,"[8.985107421875, 9.249755859375, 9.560791015625, 9.5498046875, 8.688720703125, 9.03466796875, 8.82763671875, 8.856689453125, 8.74853515625, 8.912109375]",8.688720703125,9.560791015625,ccb,ccb04
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,109.541552734375,17.316667362226276,"[100.19287109375, 158.419189453125, 100.407958984375, 108.424560546875, 109.230712890625, 95.987548828125, 104.442138671875, 117.421630859375, 100.724365234375, 100.16455078125]",95.987548828125,158.419189453125,ccb,ccb05
Quais municipios possuem uma população com número inferior à 1000 pessoas?,3.055078125,6.024169343259217,"[21.1181640625, 1.526611328125, 1.066162109375, 0.874755859375, 0.801025390625, 1.10302734375, 1.180908203125, 1.053955078125, 0.9326171875, 0.8935546875]",0.801025390625,21.1181640625,ccb,ccb06
Média de Idade das Pessoas nas Famílias da base de dados?,23.9499755859375,2.0084644504505906,"[28.6513671875, 23.236328125, 22.867431640625, 24.646728515625, 26.3759765625, 21.482666015625, 23.023681640625, 23.7421875, 22.38232421875, 23.091064453125]",21.482666015625,28.6513671875,ccb,ccb07
Qual a Idade média da população entrevistada?,21.923828125,0.6559974911223095,"[21.5732421875, 21.2490234375, 22.61474609375, 21.755126953125, 21.7216796875, 21.03662109375, 22.030517578125, 23.43017578125, 21.678466796875, 22.148681640625]",21.03662109375,23.43017578125,ccb,ccb08
Qual a Quantidade média de cômodos dos domicílios?,8.805615234375,0.4657213508202112,"[9.142822265625, 9.615966796875, 8.525390625, 8.879638671875, 8.29248046875, 9.337158203125, 8.0673828125, 9.092529296875, 8.473388671875, 8.62939453125]",8.0673828125,9.615966796875,ccb,ccb09
Qual a média de cômodos por domicilio,8.4744140625,0.249036285667329,"[8.4306640625, 8.76953125, 8.47802734375, 8.541259765625, 8.271728515625, 8.6162109375, 8.066650390625, 8.450927734375, 8.9365234375, 8.1826171875]",8.066650390625,8.9365234375,ccb,ccb10
Quantidade de pessoas por sexo na base de dados?,1256.392724609375,23.965797609082433,"[1281.72705078125, 1262.7451171875, 1250.349609375, 1241.207275390625, 1232.640869140625, 1243.328125, 1240.485595703125, 1246.35400390625, 1316.73388671875, 1248.355712890625]",1232.640869140625,1316.73388671875,ccb,ccb11
Valor total da média familiar e total de pessoas por municipio,64.592041015625,3.827100031128771,"[60.75537109375, 63.3076171875, 62.2373046875, 63.7705078125, 71.506103515625, 69.291259765625, 69.842041015625, 62.53466796875, 60.62548828125, 62.050048828125]",60.62548828125,71.506103515625,ccb,ccb12
Quantidade de pessoas agrupadas por nível de escolaridade,45.0072998046875,2.535247303719117,"[44.580322265625, 48.294921875, 46.28173828125, 46.200439453125, 42.59814453125, 43.26123046875, 42.360107421875, 43.011474609375, 43.25146484375, 50.233154296875]",42.360107421875,50.233154296875,ccb,ccb13
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,13.570703125,0.4836439608881987,"[14.04443359375, 12.7177734375, 13.3681640625, 13.3408203125, 13.41357421875, 13.632568359375, 13.8857421875, 13.048095703125, 14.496337890625, 13.759521484375]",12.7177734375,14.496337890625,ccb,ccb14
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,27.1654052734375,1.4321841229609762,"[28.6572265625, 25.989013671875, 26.428955078125, 28.38427734375, 30.361328125, 26.823974609375, 26.57861328125, 26.921630859375, 25.472900390625, 26.0361328125]",25.472900390625,30.361328125,ccb,ccb15
