description,average,standard_deviation,individual_results,min,max,type,id
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,108.308056640625,21.521729119599755,"[163.071533203125, 98.942626953125, 113.707275390625, 109.0361328125, 128.572021484375, 96.67236328125, 99.13623046875, 92.27197265625, 87.87548828125, 93.794921875]",87.87548828125,163.071533203125,ccb,ccb01
Quantidade de domicilios sem banheiro,45.2066162109375,3.5475505942493033,"[44.368408203125, 45.22216796875, 42.18994140625, 42.90380859375, 54.26220703125, 48.352294921875, 44.128173828125, 45.989013671875, 41.84326171875, 42.806884765625]",41.84326171875,54.26220703125,ccb,ccb02
Quantidade de familias que nao possuem domicilio particular regular,29.1690673828125,0.31427507276060046,"[28.952880859375, 29.74365234375, 28.953125, 28.6728515625, 29.273681640625, 29.39990234375, 28.946533203125, 29.2001953125, 29.574951171875, 28.972900390625]",28.6728515625,29.74365234375,ccb,ccb03
Quais dados do domicílio das famílias que possuem apenas um cômodo?,7.968310546875,0.3207082360031127,"[8.70556640625, 8.18603515625, 7.91162109375, 7.906982421875, 7.60205078125, 7.921875, 7.666748046875, 8.027099609375, 7.57470703125, 8.180419921875]",7.57470703125,8.70556640625,ccb,ccb04
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,85.950390625,11.317053528492682,"[77.72998046875, 79.651123046875, 79.5869140625, 82.4345703125, 85.774658203125, 86.015380859375, 79.196044921875, 79.681884765625, 117.588134765625, 91.84521484375]",77.72998046875,117.588134765625,ccb,ccb05
Quais municipios possuem uma população com número inferior à 1000 pessoas?,0.6593505859375,0.3337376456170743,"[1.652099609375, 0.671875, 0.57080078125, 0.5361328125, 0.520751953125, 0.536376953125, 0.5244140625, 0.52783203125, 0.527099609375, 0.526123046875]",0.520751953125,1.652099609375,ccb,ccb06
Média de Idade das Pessoas nas Famílias da base de dados?,21.0010986328125,0.7559422430305187,"[20.8466796875, 20.994873046875, 21.84130859375, 20.277587890625, 22.54736328125, 21.684326171875, 20.363525390625, 20.78369140625, 20.699462890625, 19.97216796875]",19.97216796875,22.54736328125,ccb,ccb07
Qual a Idade média da população entrevistada?,21.710400390625,1.7635994958230534,"[20.42041015625, 20.740478515625, 21.01171875, 21.6396484375, 21.52197265625, 21.08935546875, 21.302001953125, 22.806396484375, 26.545654296875, 20.0263671875]",20.0263671875,26.545654296875,ccb,ccb08
Qual a Quantidade média de cômodos dos domicílios?,7.8531982421875,0.3745848909238879,"[8.512451171875, 7.419189453125, 8.069580078125, 7.268310546875, 7.82177734375, 7.441162109375, 8.132568359375, 7.684814453125, 8.069580078125, 8.112548828125]",7.268310546875,8.512451171875,ccb,ccb09
Qual a média de cômodos por domicilio,7.9336669921875,0.6087091578895941,"[7.4365234375, 8.31591796875, 7.498779296875, 7.8427734375, 7.0009765625, 8.52734375, 7.163330078125, 8.424072265625, 8.199462890625, 8.927490234375]",7.0009765625,8.927490234375,ccb,ccb10
Quantidade de pessoas por sexo na base de dados?,1239.2181396484375,17.99339491477918,"[1275.9423828125, 1223.21044921875, 1245.2626953125, 1238.36181640625, 1253.310302734375, 1212.07958984375, 1237.2841796875, 1221.070556640625, 1230.55810546875, 1255.101318359375]",1212.07958984375,1275.9423828125,ccb,ccb11
Valor total da média familiar e total de pessoas por municipio,59.0602783203125,3.869724970850788,"[57.269775390625, 64.373779296875, 57.3935546875, 56.758056640625, 56.104248046875, 57.93115234375, 56.869384765625, 57.635009765625, 57.647705078125, 68.6201171875]",56.104248046875,68.6201171875,ccb,ccb12
Quantidade de pessoas agrupadas por nível de escolaridade,43.836865234375,2.3258735722986255,"[43.365966796875, 40.904541015625, 41.604248046875, 40.91259765625, 44.631591796875, 42.34228515625, 46.4521484375, 46.189453125, 47.89208984375, 44.07373046875]",40.904541015625,47.89208984375,ccb,ccb13
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,11.99443359375,0.4409352015510418,"[13.00537109375, 11.240478515625, 12.0009765625, 11.95458984375, 11.64697265625, 11.858154296875, 11.701416015625, 12.23681640625, 12.0498046875, 12.249755859375]",11.240478515625,13.00537109375,ccb,ccb14
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,25.377099609375,0.7821769342383268,"[26.067138671875, 24.51953125, 24.491943359375, 24.639892578125, 25.2587890625, 26.263916015625, 25.45751953125, 26.9462890625, 24.825439453125, 25.300537109375]",24.491943359375,26.9462890625,ccb,ccb15
