description,average,standard_deviation,individual_results,min,max,type
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,95.677685546875,1.0818899058213716,"[97.53271484375, 95.64794921875, 97.160400390625, 95.25830078125, 94.448974609375, 95.44287109375, 95.563232421875, 93.778564453125, 95.456787109375, 96.487060546875]",93.778564453125,97.53271484375,ccb
Quantidade de domicilios sem banheiro,46.21689453125,1.3916710945827981,"[47.044921875, 44.498291015625, 47.644775390625, 48.93017578125, 45.068115234375, 45.6806640625, 45.911865234375, 47.32861328125, 45.568115234375, 44.493408203125]",44.493408203125,48.93017578125,ccb
Quantidade de familias que nao possuem domicilio particular regular,30.8699462890625,0.7820957797443262,"[32.53857421875, 31.077880859375, 30.858642578125, 30.4501953125, 29.634765625, 29.934326171875, 30.882568359375, 31.70849609375, 30.790283203125, 30.82373046875]",29.634765625,32.53857421875,ccb
Quais dados do domicílio das famílias que possuem apenas um cômodo?,23.2354248046875,0.6105122937777481,"[24.171630859375, 24.5703125, 23.44482421875, 22.78515625, 23.20556640625, 22.8212890625, 22.946533203125, 22.79541015625, 22.75537109375, 22.858154296875]",22.75537109375,24.5703125,ccb
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,81.281494140625,2.352083788405161,"[86.918212890625, 82.734375, 78.8310546875, 83.4013671875, 80.974609375, 80.064208984375, 79.849853515625, 80.634765625, 78.724609375, 80.681884765625]",78.724609375,86.918212890625,ccb
Quais municipios possuem uma população com número inferior à 1000 pessoas?,1.0732666015625,0.5664698750506888,"[2.737548828125, 1.1728515625, 0.979736328125, 0.920166015625, 0.89208984375, 0.767578125, 0.803466796875, 0.841796875, 0.855224609375, 0.76220703125]",0.76220703125,2.737548828125,ccb
Média de Idade das Pessoas nas Famílias da base de dados?,23.3619384765625,1.7268493940447927,"[28.14404296875, 23.3837890625, 23.163330078125, 24.081787109375, 22.132568359375, 22.246826171875, 22.2265625, 21.85107421875, 23.2685546875, 23.120849609375]",21.85107421875,28.14404296875,ccb
Qual a Idade média da população entrevistada?,25.1364013671875,2.19746284393236,"[24.790771484375, 24.703125, 22.857421875, 24.9541015625, 30.307373046875, 24.54052734375, 24.77490234375, 23.489501953125, 22.964111328125, 27.982177734375]",22.857421875,30.307373046875,ccb
Qual a Quantidade média de cômodos dos domicílios?,14.1108154296875,0.5525573819124824,"[14.986572265625, 14.502197265625, 14.837890625, 13.611083984375, 14.54052734375, 13.55712890625, 13.991455078125, 14.051513671875, 13.775146484375, 13.254638671875]",13.254638671875,14.986572265625,ccb
Qual a média de cômodos por domicilio,14.2773193359375,1.3494548988540431,"[14.695556640625, 13.87548828125, 13.8525390625, 13.688232421875, 14.86865234375, 13.563232421875, 13.65625, 18.029541015625, 13.269775390625, 13.27392578125]",13.269775390625,18.029541015625,ccb
Quantidade de pessoas por sexo na base de dados?,1275.058984375,20.169551921017817,"[1285.029052734375, 1250.31591796875, 1275.95458984375, 1263.169921875, 1265.740966796875, 1295.2705078125, 1310.88427734375, 1293.848388671875, 1267.287841796875, 1243.08837890625]",1243.08837890625,1310.88427734375,ccb
Valor total da média familiar e total de pessoas por municipio,70.8438232421875,8.051063548973184,"[65.478515625, 63.22900390625, 86.457275390625, 78.604736328125, 82.270751953125, 66.531982421875, 65.133544921875, 65.92236328125, 63.678955078125, 71.131103515625]",63.22900390625,86.457275390625,ccb
Quantidade de pessoas agrupadas por nível de escolaridade,46.349267578125,3.1972326095451726,"[46.364990234375, 51.9697265625, 42.1943359375, 48.23681640625, 42.518310546875, 47.09130859375, 44.0966796875, 43.341064453125, 50.84619140625, 46.833251953125]",42.1943359375,51.9697265625,ccb
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,21.64365234375,0.7757278377896711,"[22.373779296875, 23.259765625, 21.7177734375, 22.07861328125, 21.303466796875, 21.31201171875, 21.999267578125, 20.80224609375, 21.092041015625, 20.49755859375]",20.49755859375,23.259765625,ccb
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,39.77607421875,3.367579535654487,"[41.16259765625, 44.7626953125, 36.566162109375, 38.87060546875, 37.552734375, 46.06640625, 42.12646484375, 36.578369140625, 36.697265625, 37.37744140625]",36.566162109375,46.06640625,ccb
Quantos idosos existem em cada família no estado da Bahia?,44.840869140625,2.6931804568232764,"[44.020751953125, 41.586181640625, 42.48388671875, 47.17626953125, 41.71533203125, 48.262939453125, 43.940673828125, 47.174072265625, 42.884033203125, 49.16455078125]",41.586181640625,49.16455078125,cci
Qtd de pessoas por Município e cor/raça,536.518212890625,46.34103752144009,"[643.5546875, 524.063720703125, 486.49169921875, 483.83837890625, 526.296142578125, 541.447509765625, 559.9189453125, 494.057861328125, 580.8505859375, 524.66259765625]",483.83837890625,643.5546875,cci
Qual é a média de pessoas por família em cada município?,56.392041015625,6.987786088419909,"[66.142822265625, 58.1923828125, 51.832275390625, 53.697998046875, 71.23583984375, 59.843017578125, 50.03173828125, 51.65478515625, 50.04541015625, 51.244140625]",50.03173828125,71.23583984375,cci
"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:",402.75166015625,25.89293173763824,"[385.03173828125, 392.83837890625, 384.7880859375, 382.135009765625, 391.796630859375, 417.115478515625, 392.988037109375, 388.79736328125, 421.671875, 470.35400390625]",382.135009765625,470.35400390625,cci
"Quantidade de pessoas por idade, sexo e função que recebem remunerção equivalente a salário mínimo ou inferior",262.8192138671875,28.103014246188856,"[274.876953125, 230.80419921875, 240.85986328125, 245.626220703125, 229.248779296875, 302.957275390625, 315.477783203125, 279.492431640625, 257.564697265625, 251.283935546875]",229.248779296875,315.477783203125,cci
Em que municípios moram as 5 pessoas mais velhas entrevistadas?,217.5421630859375,32.982449139680725,"[309.75244140625, 235.141845703125, 196.785888671875, 219.108154296875, 208.041015625, 202.42578125, 207.0126953125, 199.8818359375, 189.248779296875, 208.023193359375]",189.248779296875,309.75244140625,cci
"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:",62.7864013671875,3.2378889988865116,"[64.736328125, 59.142822265625, 60.172119140625, 60.484375, 62.59716796875, 63.36376953125, 61.6513671875, 61.21240234375, 63.276123046875, 71.2275390625]",59.142822265625,71.2275390625,cci
Quantas mulheres concluíram o ensino fundamental?,49.068798828125,2.4313513840078604,"[49.105224609375, 50.673828125, 52.2548828125, 45.956787109375, 46.868408203125, 52.78125, 46.84033203125, 46.290283203125, 48.57861328125, 51.33837890625]",45.956787109375,52.78125,cci
"Quantas famílias existem em cada município, agrupadas por água canalizada ?",902.2489501953125,17.90138772856023,"[879.364013671875, 890.7744140625, 943.86083984375, 897.49853515625, 887.495361328125, 899.223876953125, 892.05517578125, 920.879150390625, 898.817626953125, 912.5205078125]",879.364013671875,943.86083984375,cci
Qual a media de pessoas por familia por municipio?,52.1537353515625,6.562880704872377,"[64.373779296875, 46.38818359375, 55.390625, 63.268310546875, 48.156005859375, 49.32568359375, 46.197998046875, 46.632568359375, 47.65673828125, 54.1474609375]",46.197998046875,64.373779296875,cci
Qual o curso mais elevado que as pessoas que não tiveram trabalho remunerado nos últimos 12 meses frequentaram?,147.01826171875,7.112814744612366,"[164.200439453125, 141.563720703125, 155.313232421875, 140.45654296875, 143.857666015625, 143.787841796875, 148.822265625, 147.495361328125, 143.19482421875, 141.49072265625]",140.45654296875,164.200439453125,cci
Quais são os cinco municípios com a maior população e quantas famílias vivem em cada um?,52.2777587890625,4.049150407609264,"[52.1962890625, 51.165771484375, 59.2099609375, 52.74560546875, 48.38525390625, 50.186767578125, 60.6328125, 48.814453125, 49.84814453125, 49.592529296875]",48.38525390625,60.6328125,cci
Quantas famílias com mais de 3 pessoas têm acesso a água canalizada em seus domicílios?,41.322900390625,1.9246696040006994,"[42.012939453125, 39.20654296875, 39.836181640625, 42.376953125, 45.450927734375, 42.124755859375, 42.343994140625, 41.6259765625, 38.744140625, 39.506591796875]",38.744140625,45.450927734375,cci
Quantas pessoas do sexo feminino moram em casas com água canalizada?,95.262841796875,9.025071537442289,"[96.42236328125, 96.175537109375, 95.640380859375, 120.392578125, 92.696044921875, 89.59033203125, 91.577392578125, 95.384521484375, 85.98095703125, 88.768310546875]",85.98095703125,120.392578125,cci
"Qual a quantidade de pessoas do sexo masculino e feminino, respectivamente, em Salvador?",35.3257080078125,1.663951416785332,"[35.93408203125, 34.553466796875, 36.630126953125, 34.38720703125, 34.435302734375, 33.79541015625, 35.615966796875, 34.445068359375, 33.88427734375, 39.576171875]",33.79541015625,39.576171875,cci
