description,average,standard_deviation,individual_results,min,max,type
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,77.055810546875,3.382579057492781,"[83.36328125, 75.68017578125, 75.82763671875, 74.931396484375, 75.5458984375, 73.573974609375, 73.519287109375, 81.69873046875, 81.001220703125, 75.41650390625]",73.519287109375,83.36328125,ccb
Quantidade de domicilios sem banheiro,43.702197265625,2.027561679659188,"[49.47900390625, 43.34423828125, 42.36474609375, 43.4599609375, 42.740478515625, 43.838134765625, 43.988037109375, 42.712158203125, 43.286376953125, 41.808837890625]",41.808837890625,49.47900390625,ccb
Quantidade de familias que nao possuem domicilio particular regular,29.738623046875,0.7969283680716105,"[30.890869140625, 29.492431640625, 29.49755859375, 29.602783203125, 30.656005859375, 29.5595703125, 30.8486328125, 28.270751953125, 29.609375, 28.958251953125]",28.270751953125,30.890869140625,ccb
Quais dados do domicílio das famílias que possuem apenas um cômodo?,21.5125,0.6433920189011182,"[22.547607421875, 22.076171875, 21.658447265625, 21.091796875, 21.025390625, 22.4873046875, 21.3330078125, 20.709228515625, 20.68359375, 21.512451171875]",20.68359375,22.547607421875,ccb
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,72.1791748046875,1.0654469095126653,"[74.86279296875, 71.458251953125, 71.489990234375, 71.20556640625, 71.361083984375, 71.33837890625, 73.03125, 72.259033203125, 72.4541015625, 72.331298828125]",71.20556640625,74.86279296875,ccb
Quais municipios possuem uma população com número inferior à 1000 pessoas?,0.8210693359375,0.5158313159281772,"[2.331787109375, 0.764404296875, 0.53515625, 0.523681640625, 0.525634765625, 0.80224609375, 0.65576171875, 0.553466796875, 0.685302734375, 0.833251953125]",0.523681640625,2.331787109375,ccb
Média de Idade das Pessoas nas Famílias da base de dados?,21.5814208984375,1.6518724251783714,"[23.89208984375, 25.33837890625, 20.477294921875, 21.956787109375, 19.718994140625, 21.148193359375, 20.46728515625, 20.871337890625, 20.56689453125, 21.376953125]",19.718994140625,25.33837890625,ccb
Qual a Idade média da população entrevistada?,24.5085205078125,2.1243702781481115,"[27.169677734375, 23.348876953125, 23.431884765625, 26.530517578125, 24.186279296875, 23.015869140625, 22.05419921875, 28.537109375, 21.916015625, 24.894775390625]",21.916015625,28.537109375,ccb
Qual a Quantidade média de cômodos dos domicílios?,15.0723876953125,1.1065617539630348,"[16.3505859375, 16.888427734375, 16.126708984375, 14.86962890625, 15.0390625, 14.33642578125, 13.431640625, 13.3828125, 14.9775390625, 15.321044921875]",13.3828125,16.888427734375,ccb
Qual a média de cômodos por domicilio,14.260498046875,0.7685341818956821,"[14.704345703125, 16.068359375, 13.543701171875, 14.094482421875, 14.12451171875, 14.741943359375, 14.402587890625, 14.146728515625, 13.16796875, 13.6103515625]",13.16796875,16.068359375,ccb
Quantidade de pessoas por sexo na base de dados?,1438.816748046875,97.821111650873,"[1335.375732421875, 1357.667236328125, 1384.6376953125, 1427.30029296875, 1449.35498046875, 1689.4130859375, 1531.5205078125, 1417.370361328125, 1398.81494140625, 1396.712646484375]",1335.375732421875,1689.4130859375,ccb
Valor total da média familiar e total de pessoas por municipio,76.80693359375,11.262900861873652,"[77.03076171875, 88.0859375, 76.454345703125, 92.77490234375, 95.554931640625, 76.942138671875, 65.93212890625, 65.552490234375, 66.4189453125, 63.32275390625]",63.32275390625,95.554931640625,ccb
Quantidade de pessoas agrupadas por nível de escolaridade,45.354833984375,3.721282473657271,"[49.124755859375, 47.27001953125, 43.4072265625, 53.357666015625, 41.623046875, 48.038330078125, 42.917724609375, 41.611083984375, 43.966064453125, 42.232421875]",41.611083984375,53.357666015625,ccb
Pergunta 5: Quais são os tipos de materiais de piso mais comuns nas famílias?,20.7650146484375,0.6427667891588302,"[21.116943359375, 21.3427734375, 20.90966796875, 20.0166015625, 20.633544921875, 20.212890625, 21.103759765625, 20.77197265625, 19.61865234375, 21.92333984375]",19.61865234375,21.92333984375,ccb
Agrupe a quantidade de pessoas pelas diferentes cores de pele.,37.7991943359375,1.7570995707647772,"[38.645263671875, 36.3330078125, 34.978271484375, 35.81005859375, 41.27197265625, 36.801025390625, 38.522216796875, 38.53369140625, 37.89501953125, 39.201416015625]",34.978271484375,41.27197265625,ccb
Quantos idosos existem em cada família no estado da Bahia?,42.9171875,2.930454169704662,"[43.7080078125, 43.026611328125, 40.564208984375, 38.525146484375, 39.830810546875, 39.769287109375, 47.70263671875, 45.688720703125, 44.886474609375, 45.469970703125]",38.525146484375,47.70263671875,cci
Qtd de pessoas por Município e cor/raça,521.594921875,37.39075519872267,"[609.03466796875, 548.221923828125, 538.04638671875, 539.588623046875, 514.369384765625, 484.846923828125, 506.312255859375, 501.875, 503.986328125, 469.667724609375]",469.667724609375,609.03466796875,cci
Qual é a média de pessoas por família em cada município?,50.12607421875,1.026155134920528,"[52.4267578125, 50.48828125, 49.077880859375, 49.88037109375, 51.396728515625, 49.380615234375, 49.00048828125, 49.7724609375, 50.3046875, 49.532470703125]",49.00048828125,52.4267578125,cci
"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:",407.6719970703125,10.531423235212683,"[430.675537109375, 404.999755859375, 401.272705078125, 413.94775390625, 396.29248046875, 398.762451171875, 395.12646484375, 412.970703125, 405.3662109375, 417.305908203125]",395.12646484375,430.675537109375,cci
"Quantidade de pessoas por idade, sexo e função que recebem remunerção equivalente a salário mínimo ou inferior",231.2875732421875,12.358923381482619,"[225.35302734375, 216.416015625, 230.596435546875, 216.6748046875, 227.48779296875, 224.918701171875, 253.866455078125, 253.36328125, 233.4365234375, 230.7626953125]",216.416015625,253.866455078125,cci
Em que municípios moram as 5 pessoas mais velhas entrevistadas?,199.2257568359375,7.05522614683847,"[207.2763671875, 198.097900390625, 185.0224609375, 189.916748046875, 195.591064453125, 206.20703125, 203.08740234375, 204.832763671875, 204.845458984375, 197.38037109375]",185.0224609375,207.2763671875,cci
"Quantidade de famílias com casas com menos de 3 cômodos agrupados por estado, regiao e municipio:",62.5615966796875,4.636057363579927,"[63.7890625, 63.224609375, 60.33251953125, 62.93994140625, 58.924560546875, 59.3662109375, 58.86328125, 58.4150390625, 74.69873046875, 65.06201171875]",58.4150390625,74.69873046875,cci
Quantas mulheres concluíram o ensino fundamental?,46.7130126953125,1.7630641435142678,"[46.364501953125, 51.15283203125, 45.694580078125, 47.825927734375, 44.729736328125, 45.878662109375, 47.738037109375, 44.958251953125, 46.31787109375, 46.4697265625]",44.729736328125,51.15283203125,cci
"Quantas famílias existem em cada município, agrupadas por água canalizada ?",899.3165771484375,16.006820302814468,"[915.861572265625, 921.767333984375, 878.133056640625, 881.36279296875, 891.41357421875, 924.002685546875, 899.308349609375, 906.163330078125, 890.6533203125, 884.499755859375]",878.133056640625,924.002685546875,cci
Qual a media de pessoas por familia por municipio?,48.9829833984375,7.405349569712843,"[63.4228515625, 63.20703125, 45.78564453125, 43.451416015625, 43.895263671875, 50.565673828125, 45.314697265625, 44.277099609375, 45.341064453125, 44.569091796875]",43.451416015625,63.4228515625,cci
Qual o curso mais elevado que as pessoas que não tiveram trabalho remunerado nos últimos 12 meses frequentaram?,139.1219970703125,3.43196248793845,"[142.199462890625, 140.41748046875, 141.0283203125, 142.417724609375, 139.00244140625, 131.381591796875, 137.1015625, 139.88720703125, 135.188232421875, 142.595947265625]",131.381591796875,142.595947265625,cci
Quais são os cinco municípios com a maior população e quantas famílias vivem em cada um?,55.4181640625,7.680767843914285,"[52.99169921875, 49.787109375, 74.768310546875, 53.027587890625, 50.751708984375, 56.447021484375, 57.58447265625, 61.982177734375, 49.77392578125, 47.067626953125]",47.067626953125,74.768310546875,cci
Quantas famílias com mais de 3 pessoas têm acesso a água canalizada em seus domicílios?,44.5843017578125,8.061959411957847,"[42.717529296875, 40.33251953125, 37.496826171875, 38.09912109375, 37.579345703125, 40.006591796875, 64.548583984375, 48.189453125, 44.913330078125, 51.959716796875]",37.496826171875,64.548583984375,cci
Quantas pessoas do sexo feminino moram em casas com água canalizada?,97.0961669921875,10.188942931938621,"[100.593994140625, 90.989501953125, 114.7958984375, 116.07861328125, 91.23193359375, 93.97265625, 83.8857421875, 97.826416015625, 93.65380859375, 87.93310546875]",83.8857421875,116.07861328125,cci
