description,average,standard_deviation,individual_results,min,max,type
QUERY QUE RETORNE O CÓDIGO IBGE E ID DA FAMILIA APENAS PARA FAMILIAR COM DATA DE ALTERAÇÃO DO ANO DE 2017 DE FORMA ORDENADA.,109.320703125,4.054961562697697,"[119.60205078125, 109.400146484375, 108.283203125, 105.8486328125, 112.924560546875, 109.022705078125, 109.26171875, 104.488525390625, 107.35205078125, 107.0234375]",104.488525390625,119.60205078125,ccb
Quantidade de domicilios sem banheiro,48.407421875,5.336019505642795,"[60.83056640625, 44.571533203125, 44.723876953125, 44.360107421875, 45.42041015625, 44.5810546875, 45.701416015625, 48.31201171875, 49.915771484375, 55.657470703125]",44.360107421875,60.83056640625,ccb
Quantidade de familias que nao possuem domicilio particular regular,34.065576171875,1.3548194988140523,"[36.670654296875, 35.46923828125, 33.763916015625, 33.06982421875, 33.960205078125, 33.2177734375, 32.050537109375, 35.710205078125, 33.542236328125, 33.201171875]",32.050537109375,36.670654296875,ccb
Quais dados do domicílio das famílias que possuem apenas um cômodo?,24.647607421875,1.3364552669039023,"[25.197998046875, 24.04931640625, 25.251220703125, 23.189697265625, 24.686767578125, 25.357421875, 23.37646484375, 27.913818359375, 24.06201171875, 23.391357421875]",23.189697265625,27.913818359375,ccb
FAMILIAs QUE TENHA MAIS DE 2 INTEGRANTES,85.8338623046875,4.097893368576074,"[92.971435546875, 84.988037109375, 87.44775390625, 81.77099609375, 83.27490234375, 93.436279296875, 81.444580078125, 82.63525390625, 84.0732421875, 86.296142578125]",81.444580078125,93.436279296875,ccb
Quais municipios possuem uma população com número inferior à 1000 pessoas?,1.1806884765625,0.6923284163312676,"[3.177978515625, 1.184326171875, 0.874267578125, 0.715087890625, 0.7392578125, 0.722900390625, 1.239990234375, 1.13525390625, 0.898681640625, 1.119140625]",0.715087890625,3.177978515625,ccb
Média de Idade das Pessoas nas Famílias da base de dados?,24.79345703125,2.8059904020917483,"[30.90185546875, 27.0712890625, 23.42529296875, 23.868408203125, 22.305908203125, 24.04345703125, 22.416748046875, 22.730712890625, 22.792724609375, 28.378173828125]",22.305908203125,30.90185546875,ccb
Qual a Idade média da população entrevistada?,24.2604736328125,2.409484466584397,"[24.419921875, 24.069580078125, 26.966064453125, 21.8955078125, 28.038818359375, 22.676513671875, 28.092041015625, 21.995849609375, 21.9072265625, 22.543212890625]",21.8955078125,28.092041015625,ccb
Qual a Quantidade média de cômodos dos domicílios?,13.914892578125,0.6399593821689865,"[14.239013671875, 15.57861328125, 14.1455078125, 13.352783203125, 13.1474609375, 13.90478515625, 13.625, 13.63134765625, 13.92529296875, 13.59912109375]",13.1474609375,15.57861328125,ccb
Qual a média de cômodos por domicilio,14.1040771484375,1.0925804263633847,"[13.90234375, 17.19580078125, 14.046875, 13.80517578125, 14.54833984375, 13.496826171875, 13.514892578125, 13.48291015625, 13.89306640625, 13.154541015625]",13.154541015625,17.19580078125,ccb
